system:index,mean_precip_mm,month,year,.geo
0,71.26149848553483,5,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,86.69376993126711,6,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,49.25878047746382,7,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,34.10846024064803,8,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,15.002179926529546,9,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,68.94183687305406,5,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,87.30812466061452,6,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,62.1467083210371,7,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,51.44998652277581,8,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,60.487474317914156,9,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,54.08837827256052,5,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,122.59147599172967,6,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,42.43186471239192,7,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,83.16677250250379,8,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,39.46254945844069,9,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,47.95951025655633,5,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,53.7920593123269,6,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,81.4258663173256,7,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,50.09269314494602,8,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,46.912236142982024,9,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,71.56649641490128,5,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,89.01027278664829,6,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,87.69497641661317,7,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,54.35724139749508,8,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,61.28691353996164,9,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,35.520300049463664,5,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,61.66230326557125,6,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,36.0147656942983,7,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,27.900889690195598,8,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,44.63960662662002,9,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,37.85563412443482,5,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,79.94463668490812,6,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,40.618166452608385,7,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,30.44678597150023,8,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,51.28217954971067,9,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,35.65048032963433,5,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,77.24382878106965,6,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,59.39182049061345,7,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,49.95773129705598,8,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,100.96323569826009,9,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,36.222968267429295,5,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,93.20119145557868,6,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,66.22166585884325,7,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,36.49184452193803,8,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
44,26.765744030598146,9,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
45,46.04396847150034,5,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
46,53.207804046425146,6,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
47,29.722208022344915,7,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
48,67.01029547457053,8,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
49,22.791599218707262,9,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
50,70.62536518298924,5,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
51,80.48318517759014,6,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
52,68.7101042813536,7,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
53,39.002910233558886,8,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
54,26.71620754055052,9,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
