system:index,evap_mm,month,year,.geo
198205,-1.5636759082564162,5,1982,"{""type"":""MultiPoint"",""coordinates"":[]}"
198206,-2.770666568542263,6,1982,"{""type"":""MultiPoint"",""coordinates"":[]}"
198207,-3.1275668333080615,7,1982,"{""type"":""MultiPoint"",""coordinates"":[]}"
198208,-2.6400337903496918,8,1982,"{""type"":""MultiPoint"",""coordinates"":[]}"
198209,-1.607278876276368,9,1982,"{""type"":""MultiPoint"",""coordinates"":[]}"
198305,-1.5444005457336227,5,1983,"{""type"":""MultiPoint"",""coordinates"":[]}"
198306,-2.488193727963518,6,1983,"{""type"":""MultiPoint"",""coordinates"":[]}"
198307,-3.140565108121639,7,1983,"{""type"":""MultiPoint"",""coordinates"":[]}"
198308,-2.785127107618366,8,1983,"{""type"":""MultiPoint"",""coordinates"":[]}"
198309,-1.764542837778946,9,1983,"{""type"":""MultiPoint"",""coordinates"":[]}"
198405,-1.7843975138112202,5,1984,"{""type"":""MultiPoint"",""coordinates"":[]}"
198406,-2.898703256613776,6,1984,"{""type"":""MultiPoint"",""coordinates"":[]}"
198407,-3.1462275297839395,7,1984,"{""type"":""MultiPoint"",""coordinates"":[]}"
198408,-2.669751656343803,8,1984,"{""type"":""MultiPoint"",""coordinates"":[]}"
198409,-1.5348638823570688,9,1984,"{""type"":""MultiPoint"",""coordinates"":[]}"
198505,-2.014913522284657,5,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
198506,-2.75086280293754,6,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
198507,-3.0438907020619954,7,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
198508,-2.479613442144316,8,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
198509,-1.675813042314824,9,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
198605,-1.8974269708348135,5,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
198606,-2.9429411088987814,6,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
198607,-3.0400930570451727,7,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
198608,-2.7578069223153974,8,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
198609,-1.4161635757463151,9,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
198705,-1.958075890117006,5,1987,"{""type"":""MultiPoint"",""coordinates"":[]}"
198706,-2.957628358562206,6,1987,"{""type"":""MultiPoint"",""coordinates"":[]}"
198707,-3.00184086948705,7,1987,"{""type"":""MultiPoint"",""coordinates"":[]}"
198708,-2.6008063890545494,8,1987,"{""type"":""MultiPoint"",""coordinates"":[]}"
198709,-1.5382872038828723,9,1987,"{""type"":""MultiPoint"",""coordinates"":[]}"
