system:index,month,pdsi,year,.geo
201205,5,-86.67798276554576,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
201206,6,-44.77788621678436,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
201207,7,-71.87068646605964,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
201208,8,-81.30585041331813,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
201209,9,-180.6670420398605,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
201305,5,-0.1398710448572986,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
201306,6,84.82222865022626,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
201307,7,118.59815019226133,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
201308,8,103.4953783130019,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
201309,9,25.92935520011161,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
201405,5,122.85575981609338,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
201406,6,237.85401855400062,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
201407,7,194.56123835846537,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
201408,8,187.03137652541145,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
201409,9,114.53824435391334,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
201505,5,-121.83932715121423,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
201506,6,-190.04131460020008,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
201507,7,-177.80365083415725,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
201508,8,-165.3827832764787,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
201509,9,-104.03006527495731,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
201605,5,-4.615733656030852,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
201606,6,-33.421552588802896,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
201607,7,36.3536117243149,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
201608,8,64.52918686848764,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
201609,9,70.6287742153499,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
201705,5,187.7543672357816,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
201706,6,175.62544377197085,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
201707,7,88.98450612290283,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
201708,8,-18.25686026054185,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
201709,9,-81.4036015693578,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
201805,5,-38.169937510483386,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
201806,6,-27.5252783376422,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
201807,7,2.1447990402780968,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
201808,8,-34.74742661415522,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
201809,9,31.221940595107903,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
201905,5,-122.59812071420211,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
201906,6,-47.21851746001279,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
201907,7,-11.877011981261404,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
201908,8,177.51466587558073,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
201909,9,242.6455269895784,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
202005,5,303.7733358796772,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
202006,6,382.08563570985444,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
202007,7,462.16164143934816,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
202008,8,474.8046649587642,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
202009,9,427.0378800274716,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
202105,5,251.43983703143294,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
202106,6,212.6616295867911,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
202107,7,63.19284365815219,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
202108,8,27.54838466189816,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
202109,9,14.672915967073711,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
202205,5,258.14707852049054,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
202206,6,323.3577228852438,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
202207,7,300.52078363721375,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
202208,8,201.72027858461368,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
202209,9,40.42104532805377,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
